,logpop,loginv,pop,family.name,area,inv,language
968,11.05090588,3.17805383,63000,Atlantic-Congo,Africa,23,Ngomba
969,10.71443999,4.094344562,45000,Atlantic-Congo,Africa,59,Ngombale
973,10.69876253,3.583518938,44300,Afro-Asiatic,Africa,35,Nubi
974,13.70234298,3.891820298,893000,Nilotic,Africa,48,Nuer
977,5.303304908,3.713572067,200,Austroasiatic,Eurasia,40,Nyeu
978,12.4292202,3.63758616,250000,Atlantic-Congo,Africa,37,Obolo
980,8.412054873,3.044522438,4500,Nuclear Trans New Guinea,Papunesia,20,Faiwol
981,11.37367489,3.401197382,87000,Atlantic-Congo,Africa,29,Oku
983,9.806480935,3.135494216,18150,Austronesian,Papunesia,22,Palauan
984,10.46313191,2.890371758,35000,Nuclear Trans New Guinea,Papunesia,17,Orokaiva
985,7.812378206,3.17805383,2470,Nuclear Torricelli,Papunesia,23,Yil
986,6.857514063,3.091042453,950,Nuclear Torricelli,Papunesia,21,Ningil
987,11.60824474,3.218875825,110000,Austronesian,Papunesia,24,Dobu
988,6.803505258,2.944438979,900,East Strickland,Papunesia,18,Samo
992,10.1924563,3.737669618,26700,Austroasiatic,Eurasia,41,Mal
993,6.608000625,3.36729583,740,Chibchan,North America,28,Rama
994,7.13169851,3.044522438,1250,Austronesian,Papunesia,20,Matbat
995,16.18210287,3.401197382,10661000,Atlantic-Congo,Africa,29,Rundi
997,12.30138737,3.850147602,220000,NA,NA,46,Marwari
998,15.54230493,3.850147602,5622600,NA,NA,46,Marwari
